Test ID,Test Folder,Category,Test Description,Precondition,Test Steps,Expected Result,Automated,Actual Result,Status,Notes
TC-094,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: other lines intact,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-095,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: other lines intact,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-096,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: backup created,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-097,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: merge preview shown,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-098,/mnt/e/workspace/rem_line_suit/utf8/test_suite/29_no_header_footer,No-Header Mode,[PASS] plain file: merged result shown,Plain 5-line file (apple/banana/cherry/date/elderberry),Delete line 3 from plain file; merge line 1 --dry-run; verify no footer logic applied,Line removed without footer update; merge preview works on plain file,Yes,See Status,PASS,158 ms
TC-099,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] literal search finds Thai word,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-100,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] literal search shows match preview,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-101,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] regex matches line with Thai prefix,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-102,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] literal search finds Chinese chars,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-103,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] literal search finds Latin-extended,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-104,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] delete Thai line reduces count,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-105,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] Thai target line removed,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-106,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] other Thai lines intact after delete,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-107,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] Chinese line intact after Thai delete,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-108,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] footer decremented after Thai delete,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-109,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] replace on Thai line produces output,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-110,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] Thai content survives replace,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-111,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] merge preview shown for Thai split line,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-112,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] merge dry-run shows first Thai fragment,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-113,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] merge dry-run shows second Thai fragment,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-114,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] merge dry-run footer unchanged message,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-115,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] Thai merge reduces physical line count,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-116,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] Thai merged line is correct,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-117,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] footer NOT changed after merge,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-118,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,UTF-8 / Encoding,[PASS] surrounding lines intact after merge,"UTF-8 structured file with Thai, Chinese, Latin-extended content","Search/delete/replace/merge on Thai, Chinese, Latin-extended content","Thai/Chinese/Latin content searchable, deletable, replaceable, mergeable; footer tracks correctly",Yes,See Status,PASS,622 ms
TC-119,/mnt/e/workspace/rem_line_suit/utf8/test_suite/30_utf8,Large File / Performance,UTF-8 Content Handling (Thai focus),RUN_LARGE_FILE_TEST=1 set; ~35GB disk free; large_gen.sh or large_gen.py present,Generate ~10GB file; run delete/keyword/regex/pos/replace/merge/rollback; check timings,All operations complete within reasonable time; footer valid after each; max-changes guard fires,Yes,Test skipped,SKIPPED,12 ms
